intro
希望让人自由。
风华绝代。
怪蜀黍和小萝莉不得不说的故事。
一部美国近现代史。
最美的谎言。
失去的才是永恒的。 
最好的宫崎骏，最好的久石让。 
拯救一个人，就是拯救整个世界。
诺兰给了我们一场无法盗取的梦。
小瓦力，大人生。
永远都不能忘记你所爱的人。
英俊版憨豆，高情商版谢耳朵。
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
天籁一般的童声，是最接近上帝的存在。 
一生所爱。
如果再也不能见到你，祝你早安，午安，晚安。
千万不要记恨你的对手，这样会让你失去理智。
人人心中都有个龙猫，童年就永远不会消失。
爱是一种力量，让我们超越时空感知它的存在。
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
香港电影史上永不过时的杰作。
满满温情的高雅喜剧。
平民励志片。 
Tomorrow is another day.
真正的幸福是来自内心深处。
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
无尽的黑暗。
张艺谋最好的电影。
1957年的理想主义。
瑰丽壮观、无人能及的冒险之旅。
对敌人的仁慈，就是对自己残忍。
史诗的终章。
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
对天空的追逐，永不停止。 
比利·怀德满分作品。
最后那些最无聊的事情，才是最值得怀念的。 
旷古烁今。
爱情哪怕只有一天。
别样人生。
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
电影的现实意义大过电影本身。
史上最美的探戈。
自由万岁。
带着心爱的人在天空飞翔。
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
一张面具背后的理想与革命。
海豚的微笑，是世界上最高明的伪装。
优雅的孤独。
承前启后的史诗篇章。
传说的开始。
爱是一切逻辑和原由。
人生不能像做菜，把所有的料都准备好了才下锅。
暗恋的极致。
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
动物版《哈姆雷特》。
往事如烟，无处祭奠。
音乐能化解仇恨。
奔跑的孩子是天使。
警察抓小偷，老鼠玩死猫。
以戏谑来戏谑戏谑。
孪生蝙蝠侠大战克隆金刚狼。
法式小清新。 
在时间之河里感受溺水之苦。
美丽无罪。
视觉革命。
你给我翻译翻译，神马叫做TMD的惊喜。
美利坚精神输出大片No1.
用音乐化解仇恨，让歌声串起美好。
你以为你以为的就是你以为的。
“不要跟我比惨，我比你更惨”再适合这部电影不过了。
故事的高级讲法。
史诗大片的典范。
浪漫忧郁的成人童话。
安东尼·霍普金斯的顶级表演。
人的命运被自己瞬间的抉择改变。
爱情纠缠，男女一致。
死可能是一道门，逝去并不是终结，而是超越，走向下一程。
人生中应该拥有这样的一段豁然开朗。
童话世界的开端。
你是我最好的朋友，你是我唯一的朋友 。
小清新的故事里注入了大历史的情怀。
一场华丽的意淫。
昔日翩翩少年，今日大腹便便。
骗子大师和执著警探的你追我跑故事。 
人与自然的战争史诗。
深入内心的恐怖，出人意料的结局。
寂寞没有期限。
人言可畏。
最不可能的那个人永远是最可能的。
每个人心中都有一座断背山。
尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
约翰尼·德普的独角戏。
绝对意义上的美轮美奂。
没有一人完全善，也没有一人完全恶。
大时代中的人生，小人物的悲喜。
我们都曾经是一一。
相逢只要一瞬间，等待却像是一辈子。
百看不厌。 
再多各自牛逼的时光，也比不上一起傻逼的岁月。 
年度最佳date movie。
缘分是个连绵词，最美不过一瞬。
被上帝抛弃了的上帝之城。
少女情怀总是诗。
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
动画片的圣经。
穷尽一生，我们要学会的，不过是彼此拥抱。
那些静得只能听见呼吸的日子里，你明白孤独即生活。
我是一个演员。
两张绝世的脸。 
恐怖分子的“秋菊打官司”。
梦的勾结。
从没见过那么流氓的温柔，从没见过那么温柔的流氓。
和谐的生活离不开摸头与被摸头。
有时候幸福需要等一等。 
Mr. I Don't Care其实也有Care的时候。
曾经的那段美好会沉淀为一辈子的记忆。
岁月流逝，来日可追。
关于连环杀人悬案的集体回忆。
时代悲歌。
幸福是生生不息，却难以触及的远。 
不要给它起名字，起了名字就有感情了。
像吃了苏打饼一样干脆的电影。
中国家庭的喜怒哀乐忍。
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
真相就在眼前。
电影诗。
沉醉在电影的情感和视听氛围中无法自拔。
一个针管引发的血案。
爱，是个动词。
黑暗之美。
老少皆宜，这就是好莱坞动画的魅力。
10年的完美句点。
触不到的恋人。
《我是山姆》的《美丽人生》。
生活在自己的世界里，也可以让周围的人显得可笑和渺小。
英雄泪短，兄弟情长。 
当这个世界闭上双眼，他却敞开了怀抱。
大海啊，不全是水。
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
Balalala~~~
华太师是黄霑，吴镇宇四大才子之一。
诺兰就是保证。
始于荒诞，止于更荒诞。
爱是摈弃傲慢与偏见之后的曙光。
我们都有权利不与自己的过去和解。
永远看不腻的喜剧。
香港浪漫主义警匪动作片的巅峰之作。
传奇，不是每个人都可以拥有。
任何信念的力量，都无法改变命运。
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
跨度十五年的欢乐与泪水。
偷情本没有这样美。
坏人的好总是比好人的好来得更感人。
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
我的平常生活就是他人的幸福。
Jared Leto的腿比女人还美！
有一些东西不应该被遗忘。
骨灰级歌舞片。
中国式内在的美国电影。
不可猜的青春迷笛。 
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
爱上未来的你。 
爱并不需要智商 。
松鼠才是角儿。
对爱的执着，可以超越一切。
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
世界离独裁只有五天。
好的剧本是，就算你猜到了结局也猜不到全部。
人生的N种可能性。
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 
热血沸腾，那个低俗、性感的无耻混蛋又来了。
愿我们都不用长大，每一座城堡都能永远存在。
一个单凭体香达到高潮的男人。
王家卫是一种风格，张国荣是一个代表。
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
坚硬的信仰。
不要企图在重复中寻找已经失去的爱。
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
只有有信仰的人才能说出事实真相。
做一颗让别人需要你的棋子。
诺兰的牛逼来源于内心散发出的恐惧。
天使与魔鬼的冲撞。
他给机器起名“克里斯托弗”，因为这是他初恋的名字。
惠及一生的美丽。
养狗三日，便会对你终其一生。
天使保护事件始末。
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
来啊，互相伤害啊！
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
谁说王家卫镜头很晃？
弱者送给弱者的一刀。
想你时你在闹海。
一场没有春天的噩梦。
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
故事的反转与反转，分裂电影的始祖。
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
宝莱坞的萝莉与大叔。
爱我就给我看你的播放列表。
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
嬉笑怒骂，调风动月。
是枝裕和的家庭习作。
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
少见的超越首部的续集，动作片中的经典。
天使暂时离开。
没有了退路，只好飞向自由。
黑小鸭速效美白记。
迪士尼和皮克斯拿错剧本的产物。
青春就是放弃和怀念。
永远的小人物，伟大的卓别林。
昆汀同学越来越变态了，比北野武还杜琪峰。
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
科幻真正的魅力不是视觉效果能取代的。 
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
中国版《两杆大烟枪》。
类型片的极致。 
生病的E.T.皮肤的颜色就像柿子饼。
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
生命不止，摇滚不死。
我完全康复了。
最棒的西部片。
小成本大魅力。
每个人的内心都是深不可测的大海。 
新闻人的理性求真。
每个美丽事物背后都是滴血的现实。
出门必备：本草纲目。
皇上无话儿。
我不信仰上帝，但我敬畏上帝。
"In memory, love lives forever..."
最美的飞翔。
还原真实而残酷的战争。
你要相信，这世上真的有爱存在，不管在什么年纪 
热血沸腾，相当完美的娱乐拳击大餐。
用剩余不多的时间，去燃烧整个生命。
一个人的独角戏。
现实与童话交相辉映的旅程。
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
现代科幻电影的开山之作，最伟大导演的最伟大影片。
乐观比一切都有力量。
大卫·林奇的梦境迷宫。
一部能引人思考的科幻励志片。
纯净原始的笑与感动。
捍卫人权只是信仰，一点不妨碍其行为的残忍。
青春的窃窃私语。 
